KSTRANA;VSTRANA;NAZEVCELK;NAZEV_STRK;ZKRATKAK30;ZKRATKAK8;POCSTRVKO;SLOZENI;STAVREG;PLAT_STR;SLOZNEPLAT;POCMANDCR;NAZEVPLNY
21;768;"ANO 2011";"ANO 2011";"ANO 2011";"ANO";1;"768";"00000000000000";"A";"";78;"ANO 2011"
22;1127;"Dobrá volba 2016";"Dobrá volba 2016";"Dobrá volba 2016";"DV 2016";1;"1127";"00022000020000";"A";"";0;"Dobrá volba 2016"
23;1125;"Sdruení pro republiku - Republikánská strana Èeskoslovenska Miroslava Sládka";"Sdruení pro republiku-Republ.str.Èeskosl.M.Sládka";"SPR-Republ.str.Èsl. M.Sládka";"SPRRSÈ M.Sládka";1;"1125";"00000000000000";"A";"";0;"Sdruení pro republiku - Republikánská strana Èeskoslovenska Miroslava Sládka"
24;1;"Køesanská a demokratická unie - Èeskoslovenská strana lidová";"Køesan.a demokrat.unie-Èeskosl.strana lidová";"Køes.demokr.unie-Ès.str.lid.";"KDU-ÈSL";1;"1";"00000000000000";"A";"";10;"Køesanská a demokratická unie - Èeskoslovenská strana lidová"
25;2;"Èeská strana národnì sociální";"Èeská strana národnì sociální";"Èeská strana národnì sociální";"ÈSNS";1;"2";"00002002200020";"A";"";0;"Èeská strana národnì sociální"
26;1176;"REALISTÉ";"REALISTÉ";"REALISTÉ";"REAL";1;"1176";"00000000000000";"A";"";0;"REALISTÉ"
27;1182;"SPORTOVCI";"SPORTOVCI";"SPORTOVCI";"SPORTOVCI";1;"1182";"00000000000000";"A";"";0;"SPORTOVCI"
28;156;"Dìlnická strana sociální spravedlnosti";"Dìlnická strana sociální spravedlnosti";"Dìlnic.str.sociální spravedl.";"DSSS";1;"156";"00000000000000";"A";"";0;"Dìlnická strana sociální spravedlnosti"
29;1114;"Svoboda a pøímá demokracie - Tomio Okamura (SPD)";"Svoboda a pøímá demokracie - Tomio Okamura (SPD)";"Svob.a pø.dem.-T.Okamura (SPD)";"SPD";1;"1114";"00000000000000";"A";"";22;"Svoboda a pøímá demokracie - Tomio Okamura (SPD)"
30;724;"Strana Práv Obèanù";"Strana Práv Obèanù";"Strana Práv Obèanù";"SPO";1;"724";"00000000000000";"A";"";0;"Strana Práv Obèanù"
31;1116;"Národ Sobì";"Národ Sobì";"Národ Sobì";"NáS";1;"1116";"22222222220222";"A";"";0;"Národ Sobì"
